"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"/Users/amber/Lesson Plan Creator/src/App.js", "JavaScript", 8, 0, 0, 3, 11
"/Users/amber/Lesson Plan Creator/src/components/Buttons.js", "JavaScript", 0, 0, -1, 0, -1
"/Users/amber/Lesson Plan Creator/src/components/Chart.js", "JavaScript", -216, 0, -3, -26, -245
"/Users/amber/Lesson Plan Creator/src/components/GameMode.js", "JavaScript", -372, 0, -18, -37, -427
"/Users/amber/Lesson Plan Creator/src/components/HoverComputer/HoverComputer.js", "JavaScript", -129, 0, 0, -23, -152
"/Users/amber/Lesson Plan Creator/src/components/Matching/Matching.css", "CSS", 0, -98, 0, -13, -111
"/Users/amber/Lesson Plan Creator/src/components/Matching/Matching.js", "JavaScript", -148, 0, -21, -19, -188
"/Users/amber/Lesson Plan Creator/src/components/Modal.js", "JavaScript", -24, 0, -13, 0, -37
"/Users/amber/Lesson Plan Creator/src/components/MultipleChoice.js", "JavaScript", -93, 0, -1, -7, -101
"/Users/amber/Lesson Plan Creator/src/components/Sidebar.js", "JavaScript", 176, 0, 0, 14, 190
"/Users/amber/Lesson Plan Creator/src/components/Sorting.js", "JavaScript", -187, 0, -19, -19, -225
"/Users/amber/Lesson Plan Creator/src/components/StudentMainSidebar.js", "JavaScript", -140, 0, 0, -14, -154
"/Users/amber/Lesson Plan Creator/src/components/StudentMainTopbar.js", "JavaScript", -13, 0, -1, -7, -21
"/Users/amber/Lesson Plan Creator/src/components/TeacherMainSidebar.js", "JavaScript", -172, 0, 0, -16, -188
"/Users/amber/Lesson Plan Creator/src/components/TeacherMainTopbar.js", "JavaScript", -13, 0, -1, -7, -21
"/Users/amber/Lesson Plan Creator/src/components/YouTubeWithQuestion.js", "JavaScript", -533, 0, -17, -53, -603
"/Users/amber/Lesson Plan Creator/src/pages/AddClass/AddClass.css", "CSS", 0, -36, -2, -8, -46
"/Users/amber/Lesson Plan Creator/src/pages/AddClass/AddClass.js", "JavaScript", -625, 0, -18, -48, -691
"/Users/amber/Lesson Plan Creator/src/pages/Badge/Badge.js", "JavaScript", -15, 0, -2, 1, -16
"/Users/amber/Lesson Plan Creator/src/pages/Course/Course.js", "JavaScript", 518, 0, 14, 47, 579
"/Users/amber/Lesson Plan Creator/src/pages/Course/GameMode.js", "JavaScript", 370, 0, 0, 36, 406
"/Users/amber/Lesson Plan Creator/src/pages/Course/Matching.css", "CSS", 0, 98, 0, 13, 111
"/Users/amber/Lesson Plan Creator/src/pages/Course/Matching.js", "JavaScript", 148, 0, 21, 19, 188
"/Users/amber/Lesson Plan Creator/src/pages/Course/MultipleChoice.js", "JavaScript", 94, 0, 1, 7, 102
"/Users/amber/Lesson Plan Creator/src/pages/Course/Sorting.js", "JavaScript", 178, 0, 0, 18, 196
"/Users/amber/Lesson Plan Creator/src/pages/CreateClass/CreateClass.js", "JavaScript", 645, 0, 0, 55, 700
"/Users/amber/Lesson Plan Creator/src/pages/CreateCourse/CreateCourse.js", "JavaScript", -10, 0, -22, -3, -35
"/Users/amber/Lesson Plan Creator/src/pages/CreateUnit/CreateUnit.js", "JavaScript", -7, 0, -7, -3, -17
"/Users/amber/Lesson Plan Creator/src/pages/EditClass/EditClass.css", "CSS", 0, -36, -2, -8, -46
"/Users/amber/Lesson Plan Creator/src/pages/EditClass/EditClass.js", "JavaScript", 15, 0, -16, 2, 1
"/Users/amber/Lesson Plan Creator/src/pages/EditCourse/EditCourse.js", "JavaScript", -5, 0, -51, 1, -55
"/Users/amber/Lesson Plan Creator/src/pages/EditUnit/EditUnit.js", "JavaScript", -13, 0, -9, -4, -26
"/Users/amber/Lesson Plan Creator/src/pages/Login/Login.js", "JavaScript", -5, 0, 0, 0, -5
"/Users/amber/Lesson Plan Creator/src/pages/Main/HoverComputer/HoverComputer.js", "JavaScript", 129, 0, 0, 23, 152
"/Users/amber/Lesson Plan Creator/src/pages/Main/Main.js", "JavaScript", -3, 0, 0, -1, -4
"/Users/amber/Lesson Plan Creator/src/pages/ManageBadge/ManageBadge.js", "JavaScript", -6, 0, -2, 0, -8
"/Users/amber/Lesson Plan Creator/src/pages/ManageClass/ManageClass.js", "JavaScript", -6, 0, -19, -3, -28
"/Users/amber/Lesson Plan Creator/src/pages/Profile/Profile.js", "JavaScript", 137, 0, 191, 15, 343
"/Users/amber/Lesson Plan Creator/src/pages/Register/Register.js", "JavaScript", -6, 0, -2, 0, -8
"/Users/amber/Lesson Plan Creator/src/pages/Score/Chart.js", "JavaScript", 219, 0, 3, 26, 248
"/Users/amber/Lesson Plan Creator/src/pages/Score/Score.js", "JavaScript", -8, 0, -5, -2, -15
"/Users/amber/Lesson Plan Creator/src/pages/StudentMain/StudentMain.js", "JavaScript", -7, 0, -2, -1, -10
"/Users/amber/Lesson Plan Creator/src/pages/StudentProfile/StudentProfile.js", "JavaScript", -131, 0, -200, -17, -348
"/Users/amber/Lesson Plan Creator/src/pages/TeacherMain/TeacherMain.js", "JavaScript", -1, 0, -8, 0, -9
"/Users/amber/Lesson Plan Creator/src/pages/TeacherProfile/TeacherProfile.js", "JavaScript", -132, 0, -198, -17, -347
"Total", "-", -383, -72, -430, -76, -961
