"filename", "language", "JavaScript", "CSS", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"/Users/amber/Lesson Plan Creator/README.md", "Markdown", 0, 0, 0, 38, 0, 0, 33, 71
"/Users/amber/Lesson Plan Creator/firebase.json", "JSON", 0, 0, 7, 0, 0, 29, 0, 36
"/Users/amber/Lesson Plan Creator/firestore.indexes.json", "JSON", 0, 0, 4, 0, 0, 0, 1, 5
"/Users/amber/Lesson Plan Creator/functions/index.js", "JavaScript", 34, 0, 0, 0, 0, 6, 6, 46
"/Users/amber/Lesson Plan Creator/functions/package-lock.json", "JSON", 0, 0, 6140, 0, 0, 0, 1, 6141
"/Users/amber/Lesson Plan Creator/functions/package.json", "JSON", 0, 0, 23, 0, 0, 0, 1, 24
"/Users/amber/Lesson Plan Creator/package-lock.json", "JSON", 0, 0, 23623, 0, 0, 0, 1, 23624
"/Users/amber/Lesson Plan Creator/package.json", "JSON", 0, 0, 58, 0, 0, 0, 1, 59
"/Users/amber/Lesson Plan Creator/public/404.html", "HTML", 0, 0, 0, 0, 32, 0, 2, 34
"/Users/amber/Lesson Plan Creator/public/index.html", "HTML", 0, 0, 0, 0, 26, 0, 1, 27
"/Users/amber/Lesson Plan Creator/public/manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 1, 26
"/Users/amber/Lesson Plan Creator/src/App.js", "JavaScript", 121, 0, 0, 0, 0, 0, 11, 132
"/Users/amber/Lesson Plan Creator/src/App.test.js", "JavaScript", 23, 0, 0, 0, 0, 16, 9, 48
"/Users/amber/Lesson Plan Creator/src/UserInfoProvider.js", "JavaScript", 66, 0, 0, 0, 0, 0, 6, 72
"/Users/amber/Lesson Plan Creator/src/components/Buttons.js", "JavaScript", 246, 0, 0, 0, 0, 0, 20, 266
"/Users/amber/Lesson Plan Creator/src/components/Footer.js", "JavaScript", 29, 0, 0, 0, 0, 0, 5, 34
"/Users/amber/Lesson Plan Creator/src/components/Header.js", "JavaScript", 52, 0, 0, 0, 0, 0, 8, 60
"/Users/amber/Lesson Plan Creator/src/components/Modal.js", "JavaScript", 30, 0, 0, 0, 0, 0, 3, 33
"/Users/amber/Lesson Plan Creator/src/components/Sidebar.js", "JavaScript", 176, 0, 0, 0, 0, 0, 14, 190
"/Users/amber/Lesson Plan Creator/src/index.css", "CSS", 0, 13, 0, 0, 0, 0, 2, 15
"/Users/amber/Lesson Plan Creator/src/index.js", "JavaScript", 12, 0, 0, 0, 0, 0, 3, 15
"/Users/amber/Lesson Plan Creator/src/pages/Badge/Badge.js", "JavaScript", 188, 0, 0, 0, 0, 0, 21, 209
"/Users/amber/Lesson Plan Creator/src/pages/Course/Course.js", "JavaScript", 516, 0, 0, 0, 0, 2, 56, 574
"/Users/amber/Lesson Plan Creator/src/pages/Course/GameMode.js", "JavaScript", 387, 0, 0, 0, 0, 1, 38, 426
"/Users/amber/Lesson Plan Creator/src/pages/Course/Matching.js", "JavaScript", 230, 0, 0, 0, 0, 3, 24, 257
"/Users/amber/Lesson Plan Creator/src/pages/Course/MultipleChoice.js", "JavaScript", 81, 0, 0, 0, 0, 1, 12, 94
"/Users/amber/Lesson Plan Creator/src/pages/Course/Sorting.js", "JavaScript", 163, 0, 0, 0, 0, 0, 23, 186
"/Users/amber/Lesson Plan Creator/src/pages/CreateClass/CreateClass.js", "JavaScript", 635, 0, 0, 0, 0, 0, 66, 701
"/Users/amber/Lesson Plan Creator/src/pages/CreateCourse/CreateCourse.js", "JavaScript", 229, 0, 0, 0, 0, 257, 24, 510
"/Users/amber/Lesson Plan Creator/src/pages/CreateUnit/CreateUnit.js", "JavaScript", 796, 0, 0, 0, 0, 0, 40, 836
"/Users/amber/Lesson Plan Creator/src/pages/EditClass/EditClass.js", "JavaScript", 566, 0, 0, 0, 0, 0, 65, 631
"/Users/amber/Lesson Plan Creator/src/pages/EditCourse/EditCourse.js", "JavaScript", 207, 0, 0, 0, 0, 210, 27, 444
"/Users/amber/Lesson Plan Creator/src/pages/EditUnit/EditUnit.js", "JavaScript", 748, 0, 0, 0, 0, 0, 38, 786
"/Users/amber/Lesson Plan Creator/src/pages/Login/Login.js", "JavaScript", 285, 0, 0, 0, 0, 0, 22, 307
"/Users/amber/Lesson Plan Creator/src/pages/Main/HoverComputer/HoverComputer.js", "JavaScript", 129, 0, 0, 0, 0, 0, 23, 152
"/Users/amber/Lesson Plan Creator/src/pages/Main/Main.js", "JavaScript", 310, 0, 0, 0, 0, 12, 32, 354
"/Users/amber/Lesson Plan Creator/src/pages/ManageBadge/ManageBadge.js", "JavaScript", 271, 0, 0, 0, 0, 0, 33, 304
"/Users/amber/Lesson Plan Creator/src/pages/ManageClass/ManageClass.js", "JavaScript", 185, 0, 0, 0, 0, 0, 18, 203
"/Users/amber/Lesson Plan Creator/src/pages/Profile/Profile.js", "JavaScript", 137, 0, 0, 0, 0, 191, 15, 343
"/Users/amber/Lesson Plan Creator/src/pages/Register/Register.js", "JavaScript", 183, 0, 0, 0, 0, 0, 18, 201
"/Users/amber/Lesson Plan Creator/src/pages/Score/Chart.js", "JavaScript", 219, 0, 0, 0, 0, 3, 26, 248
"/Users/amber/Lesson Plan Creator/src/pages/Score/Score.js", "JavaScript", 225, 0, 0, 0, 0, 0, 37, 262
"/Users/amber/Lesson Plan Creator/src/pages/StudentMain/StudentMain.js", "JavaScript", 370, 0, 0, 0, 0, 0, 30, 400
"/Users/amber/Lesson Plan Creator/src/pages/TeacherMain/TeacherMain.js", "JavaScript", 567, 0, 0, 0, 0, 0, 42, 609
"/Users/amber/Lesson Plan Creator/src/utils/firebaseApp.js", "JavaScript", 17, 0, 0, 0, 0, 6, 6, 29
"Total", "-", 8433, 13, 29880, 38, 58, 737, 865, 40024
